,doc_id,doc_x,doc_y,genre
9789044970982,9789044970982,11.742576,10.07141,literary thriller
9789401611053,9789401611053,8.94166,6.5442038,"translated literary novel, novella"
9789402539882,9789402539882,6.7832823,14.288888,romance
9789029569040,9789029569040,10.971543,4.8074226,"Dutch literary novel, novella"
9789460400070,9789460400070,12.148462,7.569613,unknown
9789402755022,9789402755022,9.865522,9.3997555,"translated literary novel, novella"
9789044970098,9789044970098,12.347893,6.1768055,literary thriller
9789038895840,9789038895840,9.892372,4.794127,"Dutch literary novel, novella"
9789402503135,9789402503135,8.498163,13.1387825,romance
9789029592284,9789029592284,9.391239,8.831143,"translated literary novel, novella"
9789029594448,9789029594448,10.655328,4.8596916,"Dutch literary novel, novella"
9789402517156,9789402517156,5.882756,13.829003,romance
9789402515312,9789402515312,10.884627,13.289648,romance
9789461993083,9789461993083,9.202806,13.193409,romance
9789048724895,9789048724895,14.852517,6.215492,unknown
9789021443294,9789021443294,11.115548,4.715622,"Dutch literary novel, novella"
9789402524598,9789402524598,7.0759735,14.899125,romance
9789021445458,9789021445458,9.993227,6.3557296,"Dutch literary novel, novella"
9789402540109,9789402540109,5.69701,14.577206,romance
9789021671642,9789021671642,13.56041,6.080712,unknown
9789461997272,9789461997272,9.288713,13.335325,romance
9789044966596,9789044966596,9.961656,7.649219,"translated literary novel, novella"
9789403163505,9789403163505,8.409671,16.350876,literary thriller
9789044638233,9789044638233,9.560603,7.280143,"translated literary novel, novella"
9789402755985,9789402755985,9.380284,7.420739,Young adult fiction
9789021404059,9789021404059,13.184354,5.9670806,"Dutch literary novel, novella"
9789402751383,9789402751383,8.670851,9.369126,Young adult fiction
9789402753097,9789402753097,7.974906,17.2977,romance
9789402534023,9789402534023,5.955737,13.920588,romance
9789402508642,9789402508642,6.676924,13.387365,romance
9789048724062,9789048724062,14.641375,6.3448243,unknown
9789402511727,9789402511727,7.403618,17.204082,"translated literary novel, novella"
9789044625950,9789044625950,8.746045,10.089008,"translated literary novel, novella"
9789461703941,9789461703941,9.655945,13.000128,romance
9789461703811,9789461703811,6.1949005,14.939439,romance
9789402753653,9789402753653,9.079187,9.266042,"translated literary novel, novella"
9789021668727,9789021668727,14.444731,6.385752,unknown
9789402755855,9789402755855,9.99141,7.5149016,"translated literary novel, novella"
9789461705617,9789461705617,10.15354,14.776492,romance
9789461705747,9789461705747,7.8177586,15.402501,romance
9789044964752,9789044964752,10.901452,8.858621,thriller
9789461998774,9789461998774,6.646405,15.65537,romance
9789402751253,9789402751253,10.728091,13.039929,"translated literary novel, novella"
9789029574204,9789029574204,8.684237,5.363404,"translated literary novel, novella"
9789402526882,9789402526882,10.110765,11.77035,suspense pocket
9789025864484,9789025864484,15.281893,6.9701595,unknown
9789025369187,9789025369187,10.01715,6.377236,"translated literary novel, novella"
9789021435930,9789021435930,10.1870985,5.6753573,"translated literary novel, novella"
9789038898131,9789038898131,12.156923,5.420085,"Dutch literary novel, novella"
9789402536423,9789402536423,9.380151,13.060277,romance
9789402753783,9789402753783,10.979906,9.930636,unknown
9789461708038,9789461708038,8.569152,15.984083,romance
9789021445465,9789021445465,12.038299,6.0248613,"Dutch literary novel, novella"
9789402542370,9789402542370,6.4453597,14.763125,romance
9789460414657,9789460414657,12.647565,3.530585,"Dutch literary novel, novella"
9789461998699,9789461998699,9.089301,13.479179,romance
9789044962123,9789044962123,10.04747,-3.4893484,detective
9789461708922,9789461708922,6.705104,13.571658,romance
9789461995841,9789461995841,10.214732,10.608255,suspense pocket
9789401605724,9789401605724,8.78294,6.4384756,literary thriller
9789025864569,9789025864569,6.3932304,14.505906,unknown
9789461991317,9789461991317,8.291452,15.603706,romance
9789044618761,9789044618761,12.319823,5.140805,"Dutch literary novel, novella"
9789044618631,9789044618631,12.122965,5.2607083,"Dutch literary novel, novella"
9789029581318,9789029581318,10.38731,4.1808105,"Dutch literary novel, novella"
9789402754711,9789402754711,7.9437423,17.287848,romance
9789044965698,9789044965698,9.095199,6.3536105,"translated literary novel, novella"
9789402514421,9789402514421,9.783105,13.348872,romance
9789461702111,9789461702111,6.7120566,14.977939,romance
9789021444512,9789021444512,10.044708,4.4241586,"Dutch literary novel, novella"
9789402541113,9789402541113,9.53805,13.406273,romance
9789461996268,9789461996268,9.80086,14.757465,romance
9789025305918,9789025305918,9.881635,6.245473,"translated literary novel, novella"
9789402752649,9789402752649,9.253156,9.234446,"translated literary novel, novella"
9789044629156,9789044629156,10.9970455,8.1004305,unknown
9789025856977,9789025856977,14.615969,6.455901,unknown
9789461994936,9789461994936,6.405223,15.350576,romance
9789044968910,9789044968910,16.186752,17.593884,Young adult fiction
9789044640205,9789044640205,9.309251,9.173611,"translated literary novel, novella"
9789044630879,9789044630879,10.503623,6.9889016,"Dutch literary novel, novella"
9789402541809,9789402541809,10.035871,13.401444,romance
9789402531275,9789402531275,9.5946245,13.05142,romance
9789021674414,9789021674414,10.345278,13.473989,unknown
9789461992024,9789461992024,8.483868,13.608247,romance
9789402541687,9789402541687,5.8725557,13.706832,romance
9789461702685,9789461702685,6.7549253,10.776309,romance
9789402504880,9789402504880,7.2978644,14.298622,romance
9789044961584,9789044961584,10.050845,9.508339,thriller
9789402754872,9789402754872,8.812043,12.921911,romance
9789401602938,9789401602938,8.625112,6.324248,"translated literary novel, novella"
9789460413001,9789460413001,9.773201,5.8825026,"Dutch literary novel, novella"
